sample,chromosome,start,end,copy_number,segmented
SLX-12451.D710_D505,1,37500001,38000000,0.964,1.002
SLX-12451.D710_D505,1,38000001,38500000,NA,NA
SLX-12451.D710_D505,1,38500001,39000000,0.952,1.002
SLX-12451.D710_D505,1,39000001,39500000,NA,NA
SLX-12451.D710_D505,1,39500001,40000000,1.03,1.002
SLX-12451.D710_D505,1,40000001,40500000,0.977,1.002
SLX-12451.D710_D505,1,40500001,41000000,1.001,1.002
SLX-12451.D710_D505,1,41000001,41500000,0.97,1.002
SLX-12451.D710_D505,1,41500001,42000000,1.023,1.002
SLX-12451.D710_D505,1,42000001,42500000,1.016,1.002
SLX-12451.D710_D505,1,42500001,43000000,NA,NA
SLX-12451.D710_D505,1,43000001,43500000,NA,NA
SLX-12451.D710_D505,1,43500001,44000000,1.023,1.002
SLX-12451.D710_D505,1,44000001,44500000,1.037,1.002
SLX-12451.D710_D505,1,44500001,45000000,0.993,1.002
SLX-12451.D710_D505,1,45000001,45500000,1.03,1.002
SLX-12451.D710_D505,1,45500001,46000000,1.039,1.002
SLX-12451.D710_D505,1,46000001,46500000,1.025,1.002
SLX-12451.D710_D505,1,46500001,47000000,NA,NA
SLX-12451.D710_D505,1,47000001,47500000,0.976,1.002
SLX-12451.D710_D505,1,47500001,48000000,0.952,1.002
SLX-12451.D710_D505,1,48000001,48500000,1.05,1.002
SLX-12451.D710_D505,1,48500001,49000000,1.025,1.002
SLX-12451.D710_D505,1,49000001,49500000,1.008,1.002
SLX-12451.D710_D505,1,49500001,50000000,0.999,1.002
SLX-12451.D710_D505,1,50000001,50500000,1.021,1.002
SLX-12451.D710_D505,1,50500001,51000000,0.949,1.002
SLX-12451.D710_D505,1,51000001,51500000,1.034,1.002
SLX-12451.D710_D505,1,51500001,52000000,1.007,1.002
SLX-12451.D710_D505,1,52000001,52500000,1.013,1.002
SLX-12451.D710_D505,1,52500001,53000000,1.009,1.002
SLX-12451.D710_D505,1,53000001,53500000,0.993,1.002
SLX-12451.D710_D505,1,53500001,54000000,0.997,1.002
SLX-12451.D710_D505,1,54000001,54500000,0.999,1.002
SLX-12451.D710_D505,1,54500001,55000000,1.071,1.002
SLX-12451.D710_D505,1,55000001,55500000,1.002,1.002
SLX-12451.D710_D505,1,55500001,56000000,0.994,1.002
SLX-12451.D710_D505,1,56000001,56500000,0.98,1.002
SLX-12451.D710_D505,1,56500001,57000000,1.013,1.002
SLX-12451.D710_D505,1,57000001,57500000,0.972,1.002
SLX-12451.D710_D505,1,57500001,58000000,0.972,1.002
SLX-12451.D710_D505,1,58000001,58500000,NA,NA
SLX-12451.D710_D505,1,58500001,59000000,0.984,1.002
SLX-12451.D710_D505,1,59000001,59500000,1.101,1.002
SLX-12451.D710_D505,1,59500001,60000000,1.061,1.002
SLX-12451.D710_D505,1,60000001,60500000,1.074,1.002
SLX-12451.D710_D505,1,60500001,61000000,1.008,1.002
SLX-12451.D710_D505,1,61000001,61500000,0.99,1.002
SLX-12451.D710_D505,1,61500001,62000000,1.04,1.002
SLX-12451.D710_D505,1,62000001,62500000,0.977,1.002
SLX-12451.D710_D505,1,62500001,63000000,0.951,1.002
SLX-12451.D710_D505,1,63000001,63500000,0.997,1.002
SLX-12451.D710_D505,1,63500001,64000000,0.963,1.002
SLX-12451.D710_D505,1,64000001,64500000,1.047,1.002
SLX-12451.D710_D505,1,64500001,65000000,1.019,1.002
SLX-12451.D710_D505,1,65000001,65500000,1.048,1.002
SLX-12451.D710_D505,1,65500001,66000000,NA,NA
SLX-12451.D710_D505,1,66000001,66500000,0.975,1.002
SLX-12451.D710_D505,1,66500001,67000000,NA,NA
SLX-12451.D710_D505,1,67000001,67500000,1.035,1.002
SLX-12451.D710_D505,1,67500001,68000000,1.017,1.002
SLX-12451.D710_D505,1,68000001,68500000,NA,NA
SLX-12451.D710_D505,1,68500001,69000000,1.031,1.002
SLX-12451.D710_D505,1,69000001,69500000,0.976,1.002
SLX-12451.D710_D505,1,69500001,70000000,0.995,1.002
SLX-12451.D710_D505,1,70000001,70500000,1.023,1.002
SLX-12451.D710_D505,1,70500001,71000000,1.015,1.002
SLX-12451.D710_D505,1,71000001,71500000,1.005,1.002
SLX-12451.D710_D505,1,71500001,72000000,0.978,1.002
SLX-12451.D710_D505,1,72000001,72500000,0.988,1.002
SLX-12451.D710_D505,1,72500001,73000000,0.932,1.002
SLX-12451.D710_D505,1,73000001,73500000,1.037,1.002
SLX-12451.D710_D505,1,73500001,74000000,1.015,1.002
SLX-12451.D710_D505,1,74000001,74500000,1.022,1.002
SLX-12451.D710_D505,1,74500001,75000000,1.013,1.002
SLX-12451.D710_D505,1,75000001,75500000,0.977,1.002
SLX-12451.D710_D505,1,75500001,76000000,1.01,1.002
SLX-12451.D710_D505,1,76000001,76500000,NA,NA
SLX-12451.D710_D505,1,76500001,77000000,1.023,1.002
SLX-12451.D710_D505,1,77000001,77500000,0.987,1.002
SLX-12451.D710_D505,1,77500001,78000000,1.027,1.002
SLX-12451.D710_D505,1,78000001,78500000,1.017,1.002
SLX-12451.D710_D505,1,78500001,79000000,1.011,1.002
SLX-12451.D710_D505,1,79000001,79500000,0.993,1.002
SLX-12451.D710_D505,1,79500001,80000000,1.013,1.002
SLX-12451.D710_D505,1,80000001,80500000,0.965,1.002
SLX-12451.D710_D505,1,80500001,81000000,0.984,1.002
SLX-12451.D710_D505,1,81000001,81500000,1.017,1.002
SLX-12451.D710_D505,1,81500001,82000000,1.022,1.002
SLX-12451.D710_D505,1,82000001,82500000,1.029,1.002
SLX-12451.D710_D505,1,82500001,83000000,NA,NA
SLX-12451.D710_D505,1,83000001,83500000,1.013,1.002
SLX-12451.D710_D505,1,83500001,84000000,NA,NA
SLX-12451.D710_D505,1,84000001,84500000,1.005,1.002
SLX-12451.D710_D505,1,84500001,85000000,1.099,1.002
SLX-12451.D710_D505,1,85000001,85500000,1.014,1.002
SLX-12451.D710_D505,1,85500001,86000000,1.067,1.002
SLX-12451.D710_D505,1,86000001,86500000,1.026,1.002
SLX-12451.D710_D505,1,86500001,87000000,0.996,1.002
SLX-12451.D710_D505,1,87000001,87500000,1.037,1.002
SLX-12451.D710_D505,1,87500001,88000000,1.033,1.002
SLX-12451.D710_D505,1,88000001,88500000,1.108,1.002
SLX-12451.D710_D505,1,88500001,89000000,1.042,1.002
SLX-12451.D710_D505,1,89000001,89500000,1.059,1.002
SLX-12451.D710_D505,1,89500001,90000000,1.072,1.002
SLX-12451.D710_D505,1,90000001,90500000,1.042,1.002
SLX-12451.D710_D505,1,90500001,91000000,0.982,1.002
SLX-12451.D710_D505,1,91000001,91500000,0.98,1.002
SLX-12451.D710_D505,1,91500001,92000000,NA,NA
SLX-12451.D710_D505,1,92000001,92500000,1.009,1.002
SLX-12451.D710_D505,1,92500001,93000000,NA,NA
SLX-12451.D710_D505,1,93000001,93500000,1.035,1.002
SLX-12451.D710_D505,1,93500001,94000000,1.061,1.002
SLX-12451.D710_D505,1,94000001,94500000,1.006,1.002
SLX-12451.D710_D505,1,94500001,95000000,1.065,1.002
SLX-12451.D710_D505,1,95000001,95500000,1.08,1.002
SLX-12451.D710_D505,1,95500001,96000000,1.019,1.002
SLX-12451.D710_D505,1,96000001,96500000,1.022,1.002
SLX-12451.D710_D505,1,96500001,97000000,0.97,1.002
SLX-12451.D710_D505,1,97000001,97500000,1,1.002
SLX-12451.D710_D505,1,97500001,98000000,1.017,1.002
SLX-12451.D710_D505,1,98000001,98500000,1.026,1.002
SLX-12451.D710_D505,1,98500001,99000000,0.989,1.002
SLX-12451.D710_D505,1,99000001,99500000,1.039,1.002
SLX-12451.D710_D505,1,99500001,100000000,0.981,1.002
SLX-12451.D710_D505,1,100000001,100500000,NA,NA
SLX-12451.D710_D505,1,100500001,101000000,1.022,1.002
SLX-12451.D710_D505,1,101000001,101500000,1.069,1.002
SLX-12451.D710_D505,1,101500001,102000000,1.006,1.002
SLX-12451.D710_D505,1,102000001,102500000,NA,NA
SLX-12451.D710_D505,1,102500001,103000000,1.025,1.002
SLX-12451.D710_D505,1,103000001,103500000,NA,NA
SLX-12451.D710_D505,1,103500001,104000000,NA,NA
SLX-12451.D710_D505,1,104000001,104500000,NA,NA
SLX-12451.D710_D505,1,104500001,105000000,0.983,1.002
SLX-12451.D710_D505,1,105000001,105500000,0.988,1.002
SLX-12451.D710_D505,1,105500001,106000000,0.969,1.002
SLX-12451.D710_D505,1,106000001,106500000,0.969,1.002
SLX-12451.D710_D505,1,106500001,107000000,0.981,1.002
SLX-12451.D710_D505,1,107000001,107500000,0.995,1.002
SLX-12451.D710_D505,1,107500001,108000000,0.97,1.002
SLX-12451.D710_D505,1,108000001,108500000,NA,NA
SLX-12451.D710_D505,1,108500001,109000000,NA,NA
SLX-12451.D710_D505,1,109000001,109500000,1.021,1.002
SLX-12451.D710_D505,1,109500001,110000000,NA,NA
SLX-12451.D710_D505,1,110000001,110500000,0.98,1.002
SLX-12451.D710_D505,1,110500001,111000000,NA,NA
SLX-12451.D710_D505,1,111000001,111500000,1.008,1.002
SLX-12451.D710_D505,1,111500001,112000000,1.05,1.002
SLX-12451.D710_D505,1,112000001,112500000,1.04,1.002
SLX-12451.D710_D505,1,112500001,113000000,0.972,1.002
SLX-12451.D710_D505,1,113000001,113500000,0.99,1.002
SLX-12451.D710_D505,1,113500001,114000000,1.045,1.002
SLX-12451.D710_D505,1,114000001,114500000,1.028,1.002
SLX-12451.D710_D505,1,114500001,115000000,0.983,1.002
SLX-12451.D710_D505,1,115000001,115500000,1.011,1.002
SLX-12451.D710_D505,1,115500001,116000000,1.014,1.002
SLX-12451.D710_D505,1,116000001,116500000,0.997,1.002
SLX-12451.D710_D505,1,116500001,117000000,1.065,1.002
SLX-12451.D710_D505,1,117000001,117500000,1.002,1.002
SLX-12451.D710_D505,1,117500001,118000000,1.05,1.002
SLX-12451.D710_D505,1,118000001,118500000,1.045,1.002
SLX-12451.D710_D505,1,118500001,119000000,0.984,1.002
SLX-12451.D710_D505,1,119000001,119500000,0.978,1.002
SLX-12451.D710_D505,1,119500001,120000000,0.994,1.002
SLX-12451.D710_D505,1,120000001,120500000,1.023,1.002
SLX-12451.D710_D505,1,120500001,121000000,NA,NA
SLX-12451.D710_D505,1,121000001,121500000,NA,NA
SLX-12451.D710_D505,1,121500001,122000000,NA,NA
SLX-12451.D710_D505,1,122000001,122500000,NA,NA
SLX-12451.D710_D505,1,122500001,123000000,NA,NA
SLX-12451.D710_D505,1,123000001,123500000,NA,NA
SLX-12451.D710_D505,1,123500001,124000000,NA,NA
SLX-12451.D710_D505,1,124000001,124500000,NA,NA
SLX-12451.D710_D505,1,124500001,125000000,NA,NA
SLX-12451.D710_D505,1,125000001,125500000,NA,NA
SLX-12451.D710_D505,1,125500001,126000000,NA,NA
SLX-12451.D710_D505,1,126000001,126500000,NA,NA
SLX-12451.D710_D505,1,126500001,127000000,NA,NA
SLX-12451.D710_D505,1,127000001,127500000,NA,NA
SLX-12451.D710_D505,1,127500001,128000000,NA,NA
SLX-12451.D710_D505,1,128000001,128500000,NA,NA
SLX-12451.D710_D505,1,128500001,129000000,NA,NA
SLX-12451.D710_D505,1,129000001,129500000,NA,NA
SLX-12451.D710_D505,1,129500001,130000000,NA,NA
SLX-12451.D710_D505,1,130000001,130500000,NA,NA
SLX-12451.D710_D505,1,130500001,131000000,NA,NA
SLX-12451.D710_D505,1,131000001,131500000,NA,NA
SLX-12451.D710_D505,1,131500001,132000000,NA,NA
SLX-12451.D710_D505,1,132000001,132500000,NA,NA
SLX-12451.D710_D505,1,132500001,133000000,NA,NA
SLX-12451.D710_D505,1,133000001,133500000,NA,NA
SLX-12451.D710_D505,1,133500001,134000000,NA,NA
SLX-12451.D710_D505,1,134000001,134500000,NA,NA
SLX-12451.D710_D505,1,134500001,135000000,NA,NA
SLX-12451.D710_D505,1,135000001,135500000,NA,NA
SLX-12451.D710_D505,1,135500001,136000000,NA,NA
SLX-12451.D710_D505,1,136000001,136500000,NA,NA
SLX-12451.D710_D505,1,136500001,137000000,NA,NA
SLX-12451.D710_D505,1,137000001,137500000,NA,NA
SLX-12451.D710_D505,1,137500001,138000000,NA,NA
SLX-12451.D710_D505,1,138000001,138500000,NA,NA
SLX-12451.D710_D505,1,138500001,139000000,NA,NA
SLX-12451.D710_D505,1,139000001,139500000,NA,NA
SLX-12451.D710_D505,1,139500001,140000000,NA,NA
SLX-12451.D710_D505,1,140000001,140500000,NA,NA
SLX-12451.D710_D505,1,140500001,141000000,NA,NA
SLX-12451.D710_D505,1,141000001,141500000,NA,NA
SLX-12451.D710_D505,1,141500001,142000000,NA,NA
SLX-12451.D710_D505,1,142000001,142500000,NA,NA
SLX-12451.D710_D505,1,142500001,143000000,NA,NA
SLX-12451.D710_D505,1,143000001,143500000,NA,NA
SLX-12451.D710_D505,1,143500001,144000000,NA,NA
SLX-12451.D710_D505,1,144000001,144500000,NA,NA
SLX-12451.D710_D505,1,144500001,145000000,NA,NA
SLX-12451.D710_D505,1,145000001,145500000,NA,NA
SLX-12451.D710_D505,1,145500001,146000000,NA,NA
SLX-12451.D710_D505,1,146000001,146500000,NA,NA
SLX-12451.D710_D505,1,146500001,147000000,0.975,1.002
SLX-12451.D710_D505,1,147000001,147500000,NA,NA
SLX-12451.D710_D505,1,147500001,148000000,NA,NA
SLX-12451.D710_D505,1,148000001,148500000,NA,NA
SLX-12451.D710_D505,1,148500001,149000000,NA,NA
SLX-12451.D710_D505,1,149000001,149500000,NA,NA
SLX-12451.D710_D505,1,149500001,150000000,NA,NA
SLX-12451.D710_D505,1,150000001,150500000,NA,NA
SLX-12451.D710_D505,1,150500001,151000000,1.042,1.002
SLX-12451.D710_D505,1,151000001,151500000,1.043,1.002
SLX-12451.D710_D505,1,151500001,152000000,1.02,1.002
SLX-12451.D710_D505,1,152000001,152500000,1.013,1.002
SLX-12451.D710_D505,1,152500001,153000000,0.861,1.002
SLX-12451.D710_D505,1,153000001,153500000,0.988,1.002
SLX-12451.D710_D505,1,153500001,154000000,1.021,1.002
SLX-12451.D710_D505,1,154000001,154500000,1.01,1.002
SLX-12451.D710_D505,1,154500001,155000000,0.991,1.002
SLX-12451.D710_D505,1,155000001,155500000,1.039,1.002
SLX-12451.D710_D505,1,155500001,156000000,1.018,1.002
SLX-12451.D710_D505,1,156000001,156500000,NA,NA
SLX-12451.D710_D505,1,156500001,157000000,1.01,1.002
SLX-12451.D710_D505,1,157000001,157500000,NA,NA
SLX-12451.D710_D505,1,157500001,158000000,0.952,1.002
SLX-12451.D710_D505,1,158000001,158500000,0.929,1.002
SLX-12451.D710_D505,1,158500001,159000000,0.971,1.002
SLX-12451.D710_D505,1,159000001,159500000,0.957,1.002
SLX-12451.D710_D505,1,159500001,160000000,1.038,1.002
SLX-12451.D710_D505,1,160000001,160500000,1.037,1.002
SLX-12451.D710_D505,1,160500001,161000000,1.011,1.002
SLX-12451.D710_D505,1,161000001,161500000,0.999,1.002
SLX-12451.D710_D505,1,161500001,162000000,0.847,1.002
SLX-12451.D710_D505,1,162000001,162500000,1.024,1.002
SLX-12451.D710_D505,1,162500001,163000000,0.991,1.002
SLX-12451.D710_D505,1,163000001,163500000,1.002,1.002
SLX-12451.D710_D505,1,163500001,164000000,1.037,1.002
SLX-12451.D710_D505,1,164000001,164500000,0.999,1.002
SLX-12451.D710_D505,1,164500001,165000000,1.029,1.002
SLX-12451.D710_D505,1,165000001,165500000,1.011,1.002
SLX-12451.D710_D505,1,165500001,166000000,0.987,1.002
SLX-12451.D710_D505,1,166000001,166500000,0.945,1.002
SLX-12451.D710_D505,1,166500001,167000000,NA,NA
SLX-12451.D710_D505,1,167000001,167500000,1.063,1.002
SLX-12451.D710_D505,1,167500001,168000000,1.021,1.002
SLX-12451.D710_D505,1,168000001,168500000,1.05,1.002
SLX-12451.D710_D505,1,168500001,169000000,NA,NA
SLX-12451.D710_D505,1,169000001,169500000,1.099,1.002
SLX-12451.D710_D505,1,169500001,170000000,NA,NA
SLX-12451.D710_D505,1,170000001,170500000,1,1.002
SLX-12451.D710_D505,1,170500001,171000000,0.989,1.002
SLX-12451.D710_D505,1,171000001,171500000,1.021,1.002
SLX-12451.D710_D505,1,171500001,172000000,0.973,1.002
SLX-12451.D710_D505,1,172000001,172500000,1.093,1.002
SLX-12451.D710_D505,1,172500001,173000000,1.097,1.002
SLX-12451.D710_D505,1,173000001,173500000,1.086,1.002
SLX-12451.D710_D505,1,173500001,174000000,NA,NA
SLX-12451.D710_D505,1,174000001,174500000,1.031,1.002
SLX-12451.D710_D505,1,174500001,175000000,1.012,1.002
SLX-12451.D710_D505,1,175000001,175500000,1.021,1.002
SLX-12451.D710_D505,1,175500001,176000000,0.977,1.002
SLX-12451.D710_D505,1,176000001,176500000,1.002,1.002
SLX-12451.D710_D505,1,176500001,177000000,0.977,1.002
SLX-12451.D710_D505,1,177000001,177500000,0.956,1.002
SLX-12451.D710_D505,1,177500001,178000000,1.017,1.002
SLX-12451.D710_D505,1,178000001,178500000,1.049,1.002
SLX-12451.D710_D505,1,178500001,179000000,0.997,1.002
SLX-12451.D710_D505,1,179000001,179500000,1.008,1.002
SLX-12451.D710_D505,1,179500001,180000000,1,1.002
SLX-12451.D710_D505,1,180000001,180500000,0.985,1.002
SLX-12451.D710_D505,1,180500001,181000000,0.994,1.002
SLX-12451.D710_D505,1,181000001,181500000,0.992,1.002
SLX-12451.D710_D505,1,181500001,182000000,0.982,1.002
SLX-12451.D710_D505,1,182000001,182500000,NA,NA
SLX-12451.D710_D505,1,182500001,183000000,0.985,1.002
SLX-12451.D710_D505,1,183000001,183500000,1.023,1.002
SLX-12451.D710_D505,1,183500001,184000000,1.012,1.002
SLX-12451.D710_D505,1,184000001,184500000,1.045,1.002
SLX-12451.D710_D505,1,184500001,185000000,1.028,1.002
SLX-12451.D710_D505,1,185000001,185500000,1.031,1.002
SLX-12451.D710_D505,1,185500001,186000000,1.047,1.002
SLX-12451.D710_D505,1,186000001,186500000,1.026,1.002
SLX-12451.D710_D505,1,186500001,187000000,1.05,1.002
SLX-12451.D710_D505,1,187000001,187500000,0.993,1.002
SLX-12451.D710_D505,1,187500001,188000000,0.954,1.002
SLX-12451.D710_D505,1,188000001,188500000,0.959,1.002
SLX-12451.D710_D505,1,188500001,189000000,1.025,1.002
SLX-12451.D710_D505,1,189000001,189500000,1.008,1.002
SLX-12451.D710_D505,1,189500001,190000000,0.99,1.002
SLX-12451.D710_D505,1,190000001,190500000,0.976,1.002
SLX-12451.D710_D505,1,190500001,191000000,0.98,1.002
SLX-12451.D710_D505,1,191000001,191500000,1.021,1.002
SLX-12451.D710_D505,1,191500001,192000000,0.991,1.002
SLX-12451.D710_D505,1,192000001,192500000,0.989,1.002
SLX-12451.D710_D505,1,192500001,193000000,1.047,1.002
SLX-12451.D710_D505,1,193000001,193500000,1.048,1.002
SLX-12451.D710_D505,1,193500001,194000000,1.001,1.002
SLX-12451.D710_D505,1,194000001,194500000,0.97,1.002
SLX-12451.D710_D505,1,194500001,195000000,1.004,1.002
SLX-12451.D710_D505,1,195000001,195500000,1.013,1.002
SLX-12451.D710_D505,1,195500001,196000000,1.002,1.002
SLX-12451.D710_D505,1,196000001,196500000,1.006,1.002
SLX-12451.D710_D505,1,196500001,197000000,NA,NA
SLX-12451.D710_D505,1,197000001,197500000,1.01,1.002
SLX-12451.D710_D505,1,197500001,198000000,1.031,1.002
SLX-12451.D710_D505,1,198000001,198500000,1.042,1.002
SLX-12451.D710_D505,1,198500001,199000000,NA,NA
SLX-12451.D710_D505,1,199000001,199500000,1.002,1.002
SLX-12451.D710_D505,1,199500001,200000000,1,1.002
SLX-12451.D710_D505,1,200000001,200500000,NA,NA
SLX-12451.D710_D505,1,200500001,201000000,0.981,1.002
SLX-12451.D710_D505,1,201000001,201500000,NA,NA
SLX-12451.D710_D505,1,201500001,202000000,1.047,1.002
SLX-12451.D710_D505,1,202000001,202500000,0.93,1.002
SLX-12451.D710_D505,1,202500001,203000000,1.002,1.002
SLX-12451.D710_D505,1,203000001,203500000,0.997,1.002
SLX-12451.D710_D505,1,203500001,204000000,1,1.002
SLX-12451.D710_D505,1,204000001,204500000,1.08,1.002
SLX-12451.D710_D505,1,204500001,205000000,0.977,1.002
SLX-12451.D710_D505,1,205000001,205500000,0.998,1.002
SLX-12451.D710_D505,1,205500001,206000000,1.02,1.002
SLX-12451.D710_D505,1,206000001,206500000,0.858,1.002
SLX-12451.D710_D505,1,206500001,207000000,0.935,1.002
SLX-12451.D710_D505,1,207000001,207500000,1.042,1.002
SLX-12451.D710_D505,1,207500001,208000000,0.983,1.002
SLX-12451.D710_D505,1,208000001,208500000,1.09,1.002
SLX-12451.D710_D505,1,208500001,209000000,0.991,1.002
SLX-12451.D710_D505,1,209000001,209500000,NA,NA
SLX-12451.D710_D505,1,209500001,210000000,1.032,1.002
SLX-12451.D710_D505,1,210000001,210500000,0.944,1.002
SLX-12451.D710_D505,1,210500001,211000000,NA,NA
SLX-12451.D710_D505,1,211000001,211500000,0.979,1.002
SLX-12451.D710_D505,1,211500001,212000000,NA,NA
SLX-12451.D710_D505,1,212000001,212500000,1.041,1.002
SLX-12451.D710_D505,1,212500001,213000000,0.991,1.002
SLX-12451.D710_D505,1,213000001,213500000,0.969,1.002
SLX-12451.D710_D505,1,213500001,214000000,0.962,1.002
SLX-12451.D710_D505,1,214000001,214500000,0.998,1.002
SLX-12451.D710_D505,1,214500001,215000000,1.024,1.002
SLX-12451.D710_D505,1,215000001,215500000,0.996,1.002
SLX-12451.D710_D505,1,215500001,216000000,1.018,1.002
SLX-12451.D710_D505,1,216000001,216500000,0.988,1.002
SLX-12451.D710_D505,1,216500001,217000000,0.987,1.002
SLX-12451.D710_D505,1,217000001,217500000,1.024,1.002
SLX-12451.D710_D505,1,217500001,218000000,0.983,1.002
SLX-12451.D710_D505,1,218000001,218500000,0.949,1.002
SLX-12451.D710_D505,1,218500001,219000000,1.025,1.002
SLX-12451.D710_D505,1,219000001,219500000,1.039,1.002
SLX-12451.D710_D505,1,219500001,220000000,0.952,1.002
SLX-12451.D710_D505,1,220000001,220500000,NA,NA
SLX-12451.D710_D505,1,220500001,221000000,1.006,1.002
SLX-12451.D710_D505,1,221000001,221500000,0.963,1.002
SLX-12451.D710_D505,1,221500001,222000000,1.005,1.002
SLX-12451.D710_D505,1,222000001,222500000,0.972,1.002
SLX-12451.D710_D505,1,222500001,223000000,NA,NA
SLX-12451.D710_D505,1,223000001,223500000,NA,NA
SLX-12451.D710_D505,1,223500001,224000000,0.985,1.002
SLX-12451.D710_D505,1,224000001,224500000,NA,NA
SLX-12451.D710_D505,1,224500001,225000000,0.987,1.002
SLX-12451.D710_D505,1,225000001,225500000,1.011,1.002
SLX-12451.D710_D505,1,225500001,226000000,0.979,1.002
SLX-12451.D710_D505,1,226000001,226500000,0.987,1.002
SLX-12451.D710_D505,1,226500001,227000000,0.987,1.002
SLX-12451.D710_D505,1,227000001,227500000,1.014,1.002
SLX-12451.D710_D505,1,227500001,228000000,NA,NA
SLX-12451.D710_D505,1,228000001,228500000,0.98,1.002
SLX-12451.D710_D505,1,228500001,229000000,0.981,1.002
