"sample","chromosome","start","end","copy_number","segmented","ploidy","cellularity","absolute_segmented","absolute_copy_number"
"SLX-10722_SLX-11823.D701_D506","1",18000001,18500000,0.944,1.001,2,0.05,2.04,-0.240000000000002
"SLX-10722_SLX-11823.D701_D506","1",18500001,19000000,0.927,1.001,2,0.05,2.04,-0.919999999999998
"SLX-10722_SLX-11823.D701_D506","1",19000001,19500000,1.029,1.001,2,0.05,2.04,3.16
"SLX-10722_SLX-11823.D701_D506","1",19500001,20000000,1.03,1.001,2,0.05,2.04,3.2
"SLX-10722_SLX-11823.D701_D506","1",20000001,20500000,0.961,1.001,2,0.05,2.04,0.439999999999999
"SLX-10722_SLX-11823.D701_D506","1",20500001,21000000,1.001,1.001,2,0.05,2.04,2.04
"SLX-10722_SLX-11823.D701_D506","1",21000001,21500000,1.084,1.001,2,0.05,2.04,5.36
"SLX-10722_SLX-11823.D701_D506","1",21500001,22000000,0.872,1.001,2,0.05,2.04,-3.12
"SLX-10722_SLX-11823.D701_D506","1",22000001,22500000,0.944,1.001,2,0.05,2.04,-0.240000000000002
"SLX-10722_SLX-11823.D701_D506","1",22500001,23000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",23000001,23500000,1.002,1.001,2,0.05,2.04,2.08
"SLX-10722_SLX-11823.D701_D506","1",23500001,24000000,1.064,1.001,2,0.05,2.04,4.56
"SLX-10722_SLX-11823.D701_D506","1",24000001,24500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",24500001,25000000,1.048,1.001,2,0.05,2.04,3.92
"SLX-10722_SLX-11823.D701_D506","1",25000001,25500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",25500001,26000000,0.813,1.001,2,0.05,2.04,-5.48
"SLX-10722_SLX-11823.D701_D506","1",26000001,26500000,1.03,1.001,2,0.05,2.04,3.2
"SLX-10722_SLX-11823.D701_D506","1",26500001,27000000,1.008,1.001,2,0.05,2.04,2.32
"SLX-10722_SLX-11823.D701_D506","1",27000001,27500000,0.99,1.001,2,0.05,2.04,1.6
"SLX-10722_SLX-11823.D701_D506","1",27500001,28000000,1.069,1.001,2,0.05,2.04,4.76
"SLX-10722_SLX-11823.D701_D506","1",28000001,28500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",28500001,29000000,1.113,1.001,2,0.05,2.04,6.52
"SLX-10722_SLX-11823.D701_D506","1",29000001,29500000,1.047,1.001,2,0.05,2.04,3.88
"SLX-10722_SLX-11823.D701_D506","1",29500001,30000000,0.969,1.001,2,0.05,2.04,0.759999999999999
"SLX-10722_SLX-11823.D701_D506","1",30000001,30500000,0.919,1.001,2,0.05,2.04,-1.24
"SLX-10722_SLX-11823.D701_D506","1",30500001,31000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",31000001,31500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",31500001,32000000,1.021,1.001,2,0.05,2.04,2.84
"SLX-10722_SLX-11823.D701_D506","1",32000001,32500000,1.05,1.001,2,0.05,2.04,4
"SLX-10722_SLX-11823.D701_D506","1",32500001,33000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",33000001,33500000,1.028,1.001,2,0.05,2.04,3.12
"SLX-10722_SLX-11823.D701_D506","1",33500001,34000000,1.044,1.001,2,0.05,2.04,3.76
"SLX-10722_SLX-11823.D701_D506","1",34000001,34500000,0.926,1.001,2,0.05,2.04,-0.959999999999998
"SLX-10722_SLX-11823.D701_D506","1",34500001,35000000,0.926,1.001,2,0.05,2.04,-0.959999999999998
"SLX-10722_SLX-11823.D701_D506","1",35000001,35500000,0.917,1.001,2,0.05,2.04,-1.32
"SLX-10722_SLX-11823.D701_D506","1",35500001,36000000,1.113,1.001,2,0.05,2.04,6.52
"SLX-10722_SLX-11823.D701_D506","1",36000001,36500000,1.048,1.001,2,0.05,2.04,3.92
"SLX-10722_SLX-11823.D701_D506","1",36500001,37000000,1.06,1.001,2,0.05,2.04,4.4
"SLX-10722_SLX-11823.D701_D506","1",37000001,37500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",37500001,38000000,0.921,1.001,2,0.05,2.04,-1.16
"SLX-10722_SLX-11823.D701_D506","1",38000001,38500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",38500001,39000000,0.96,1.001,2,0.05,2.04,0.399999999999999
"SLX-10722_SLX-11823.D701_D506","1",39000001,39500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",39500001,40000000,1.031,1.001,2,0.05,2.04,3.24
"SLX-10722_SLX-11823.D701_D506","1",40000001,40500000,0.968,1.001,2,0.05,2.04,0.719999999999999
"SLX-10722_SLX-11823.D701_D506","1",40500001,41000000,1.084,1.001,2,0.05,2.04,5.36
"SLX-10722_SLX-11823.D701_D506","1",41000001,41500000,0.991,1.001,2,0.05,2.04,1.64
"SLX-10722_SLX-11823.D701_D506","1",41500001,42000000,0.979,1.001,2,0.05,2.04,1.16
"SLX-10722_SLX-11823.D701_D506","1",42000001,42500000,1.022,1.001,2,0.05,2.04,2.88
"SLX-10722_SLX-11823.D701_D506","1",42500001,43000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",43000001,43500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",43500001,44000000,1.03,1.001,2,0.05,2.04,3.2
"SLX-10722_SLX-11823.D701_D506","1",44000001,44500000,1.021,1.001,2,0.05,2.04,2.84
"SLX-10722_SLX-11823.D701_D506","1",44500001,45000000,1.047,1.001,2,0.05,2.04,3.88
"SLX-10722_SLX-11823.D701_D506","1",45000001,45500000,0.978,1.001,2,0.05,2.04,1.12
"SLX-10722_SLX-11823.D701_D506","1",45500001,46000000,1.043,1.001,2,0.05,2.04,3.72
"SLX-10722_SLX-11823.D701_D506","1",46000001,46500000,1.112,1.001,2,0.05,2.04,6.48
"SLX-10722_SLX-11823.D701_D506","1",46500001,47000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",47000001,47500000,0.823,1.001,2,0.05,2.04,-5.08
"SLX-10722_SLX-11823.D701_D506","1",47500001,48000000,0.858,1.001,2,0.05,2.04,-3.68
"SLX-10722_SLX-11823.D701_D506","1",48000001,48500000,1.02,1.001,2,0.05,2.04,2.8
"SLX-10722_SLX-11823.D701_D506","1",48500001,49000000,0.926,1.001,2,0.05,2.04,-0.959999999999998
"SLX-10722_SLX-11823.D701_D506","1",49000001,49500000,0.983,1.001,2,0.05,2.04,1.32
"SLX-10722_SLX-11823.D701_D506","1",49500001,50000000,0.919,1.001,2,0.05,2.04,-1.24
"SLX-10722_SLX-11823.D701_D506","1",50000001,50500000,0.981,1.001,2,0.05,2.04,1.24
"SLX-10722_SLX-11823.D701_D506","1",50500001,51000000,0.938,1.001,2,0.05,2.04,-0.480000000000002
"SLX-10722_SLX-11823.D701_D506","1",51000001,51500000,1.171,1.001,2,0.05,2.04,8.84
"SLX-10722_SLX-11823.D701_D506","1",51500001,52000000,1.083,1.001,2,0.05,2.04,5.32
"SLX-10722_SLX-11823.D701_D506","1",52000001,52500000,1.065,1.001,2,0.05,2.04,4.6
"SLX-10722_SLX-11823.D701_D506","1",52500001,53000000,1.056,1.001,2,0.05,2.04,4.24
"SLX-10722_SLX-11823.D701_D506","1",53000001,53500000,1.06,1.001,2,0.05,2.04,4.4
"SLX-10722_SLX-11823.D701_D506","1",53500001,54000000,0.96,1.001,2,0.05,2.04,0.399999999999999
"SLX-10722_SLX-11823.D701_D506","1",54000001,54500000,0.974,1.001,2,0.05,2.04,0.959999999999999
"SLX-10722_SLX-11823.D701_D506","1",54500001,55000000,1.045,1.001,2,0.05,2.04,3.8
"SLX-10722_SLX-11823.D701_D506","1",55000001,55500000,0.934,1.001,2,0.05,2.04,-0.639999999999998
"SLX-10722_SLX-11823.D701_D506","1",55500001,56000000,1.026,1.001,2,0.05,2.04,3.04
"SLX-10722_SLX-11823.D701_D506","1",56000001,56500000,0.938,1.001,2,0.05,2.04,-0.480000000000002
"SLX-10722_SLX-11823.D701_D506","1",56500001,57000000,1.024,1.001,2,0.05,2.04,2.96
"SLX-10722_SLX-11823.D701_D506","1",57000001,57500000,0.999,1.001,2,0.05,2.04,1.96
"SLX-10722_SLX-11823.D701_D506","1",57500001,58000000,0.946,1.001,2,0.05,2.04,-0.160000000000002
"SLX-10722_SLX-11823.D701_D506","1",58000001,58500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",58500001,59000000,0.898,1.001,2,0.05,2.04,-2.08
"SLX-10722_SLX-11823.D701_D506","1",59000001,59500000,1.079,1.001,2,0.05,2.04,5.16
"SLX-10722_SLX-11823.D701_D506","1",59500001,60000000,1.039,1.001,2,0.05,2.04,3.56
"SLX-10722_SLX-11823.D701_D506","1",60000001,60500000,1.038,1.001,2,0.05,2.04,3.52
"SLX-10722_SLX-11823.D701_D506","1",60500001,61000000,0.966,1.001,2,0.05,2.04,0.639999999999999
"SLX-10722_SLX-11823.D701_D506","1",61000001,61500000,0.969,1.001,2,0.05,2.04,0.759999999999999
"SLX-10722_SLX-11823.D701_D506","1",61500001,62000000,1.114,1.001,2,0.05,2.04,6.56
"SLX-10722_SLX-11823.D701_D506","1",62000001,62500000,1.025,1.001,2,0.05,2.04,3
"SLX-10722_SLX-11823.D701_D506","1",62500001,63000000,0.956,1.001,2,0.05,2.04,0.239999999999998
"SLX-10722_SLX-11823.D701_D506","1",63000001,63500000,0.988,1.001,2,0.05,2.04,1.52
"SLX-10722_SLX-11823.D701_D506","1",63500001,64000000,1.025,1.001,2,0.05,2.04,3
"SLX-10722_SLX-11823.D701_D506","1",64000001,64500000,1.045,1.001,2,0.05,2.04,3.8
"SLX-10722_SLX-11823.D701_D506","1",64500001,65000000,1.004,1.001,2,0.05,2.04,2.16
"SLX-10722_SLX-11823.D701_D506","1",65000001,65500000,1.051,1.001,2,0.05,2.04,4.04
"SLX-10722_SLX-11823.D701_D506","1",65500001,66000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",66000001,66500000,0.95,1.001,2,0.05,2.04,-0.00000000000000177635683940025
"SLX-10722_SLX-11823.D701_D506","1",66500001,67000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",67000001,67500000,1.069,1.001,2,0.05,2.04,4.76
"SLX-10722_SLX-11823.D701_D506","1",67500001,68000000,1.049,1.001,2,0.05,2.04,3.96
"SLX-10722_SLX-11823.D701_D506","1",68000001,68500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",68500001,69000000,1.062,1.001,2,0.05,2.04,4.48
"SLX-10722_SLX-11823.D701_D506","1",69000001,69500000,1,1.001,2,0.05,2.04,2
"SLX-10722_SLX-11823.D701_D506","1",69500001,70000000,0.992,1.001,2,0.05,2.04,1.68
"SLX-10722_SLX-11823.D701_D506","1",70000001,70500000,1.022,1.001,2,0.05,2.04,2.88
"SLX-10722_SLX-11823.D701_D506","1",70500001,71000000,1.105,1.001,2,0.05,2.04,6.2
"SLX-10722_SLX-11823.D701_D506","1",71000001,71500000,0.949,1.001,2,0.05,2.04,-0.0400000000000018
"SLX-10722_SLX-11823.D701_D506","1",71500001,72000000,0.942,1.001,2,0.05,2.04,-0.320000000000002
"SLX-10722_SLX-11823.D701_D506","1",72000001,72500000,0.998,1.001,2,0.05,2.04,1.92
"SLX-10722_SLX-11823.D701_D506","1",72500001,73000000,0.94,1.001,2,0.05,2.04,-0.400000000000002
"SLX-10722_SLX-11823.D701_D506","1",73000001,73500000,1.016,1.001,2,0.05,2.04,2.64
"SLX-10722_SLX-11823.D701_D506","1",73500001,74000000,0.989,1.001,2,0.05,2.04,1.56
"SLX-10722_SLX-11823.D701_D506","1",74000001,74500000,1.019,1.001,2,0.05,2.04,2.76
"SLX-10722_SLX-11823.D701_D506","1",74500001,75000000,0.972,1.001,2,0.05,2.04,0.879999999999999
"SLX-10722_SLX-11823.D701_D506","1",75000001,75500000,0.982,1.001,2,0.05,2.04,1.28
"SLX-10722_SLX-11823.D701_D506","1",75500001,76000000,0.963,1.001,2,0.05,2.04,0.519999999999999
"SLX-10722_SLX-11823.D701_D506","1",76000001,76500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",76500001,77000000,0.957,1.001,2,0.05,2.04,0.279999999999998
"SLX-10722_SLX-11823.D701_D506","1",77000001,77500000,0.92,1.001,2,0.05,2.04,-1.2
"SLX-10722_SLX-11823.D701_D506","1",77500001,78000000,1.01,1.001,2,0.05,2.04,2.4
"SLX-10722_SLX-11823.D701_D506","1",78000001,78500000,1.091,1.001,2,0.05,2.04,5.64
"SLX-10722_SLX-11823.D701_D506","1",78500001,79000000,0.987,1.001,2,0.05,2.04,1.48
"SLX-10722_SLX-11823.D701_D506","1",79000001,79500000,0.988,1.001,2,0.05,2.04,1.52
"SLX-10722_SLX-11823.D701_D506","1",79500001,80000000,0.969,1.001,2,0.05,2.04,0.759999999999999
"SLX-10722_SLX-11823.D701_D506","1",80000001,80500000,0.953,1.001,2,0.05,2.04,0.119999999999998
"SLX-10722_SLX-11823.D701_D506","1",80500001,81000000,1.017,1.001,2,0.05,2.04,2.68
"SLX-10722_SLX-11823.D701_D506","1",81000001,81500000,1.012,1.001,2,0.05,2.04,2.48
"SLX-10722_SLX-11823.D701_D506","1",81500001,82000000,1.012,1.001,2,0.05,2.04,2.48
"SLX-10722_SLX-11823.D701_D506","1",82000001,82500000,1.059,1.001,2,0.05,2.04,4.36
"SLX-10722_SLX-11823.D701_D506","1",82500001,83000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",83000001,83500000,1.028,1.001,2,0.05,2.04,3.12
"SLX-10722_SLX-11823.D701_D506","1",83500001,84000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",84000001,84500000,1.033,1.001,2,0.05,2.04,3.32
"SLX-10722_SLX-11823.D701_D506","1",84500001,85000000,1.102,1.001,2,0.05,2.04,6.08
"SLX-10722_SLX-11823.D701_D506","1",85000001,85500000,1.053,1.001,2,0.05,2.04,4.12
"SLX-10722_SLX-11823.D701_D506","1",85500001,86000000,1.058,1.001,2,0.05,2.04,4.32
"SLX-10722_SLX-11823.D701_D506","1",86000001,86500000,1.009,1.001,2,0.05,2.04,2.36
"SLX-10722_SLX-11823.D701_D506","1",86500001,87000000,0.98,1.001,2,0.05,2.04,1.2
"SLX-10722_SLX-11823.D701_D506","1",87000001,87500000,1.073,1.001,2,0.05,2.04,4.92
"SLX-10722_SLX-11823.D701_D506","1",87500001,88000000,0.998,1.001,2,0.05,2.04,1.92
"SLX-10722_SLX-11823.D701_D506","1",88000001,88500000,1.088,1.001,2,0.05,2.04,5.52
"SLX-10722_SLX-11823.D701_D506","1",88500001,89000000,0.993,1.001,2,0.05,2.04,1.72
"SLX-10722_SLX-11823.D701_D506","1",89000001,89500000,1.135,1.001,2,0.05,2.04,7.4
"SLX-10722_SLX-11823.D701_D506","1",89500001,90000000,1.043,1.001,2,0.05,2.04,3.72
"SLX-10722_SLX-11823.D701_D506","1",90000001,90500000,1.082,1.001,2,0.05,2.04,5.28
"SLX-10722_SLX-11823.D701_D506","1",90500001,91000000,0.956,1.001,2,0.05,2.04,0.239999999999998
"SLX-10722_SLX-11823.D701_D506","1",91000001,91500000,0.968,1.001,2,0.05,2.04,0.719999999999999
"SLX-10722_SLX-11823.D701_D506","1",91500001,92000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",92000001,92500000,1.025,1.001,2,0.05,2.04,3
"SLX-10722_SLX-11823.D701_D506","1",92500001,93000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",93000001,93500000,1.106,1.001,2,0.05,2.04,6.24
"SLX-10722_SLX-11823.D701_D506","1",93500001,94000000,1.088,1.001,2,0.05,2.04,5.52
"SLX-10722_SLX-11823.D701_D506","1",94000001,94500000,1.003,1.001,2,0.05,2.04,2.12
"SLX-10722_SLX-11823.D701_D506","1",94500001,95000000,0.986,1.001,2,0.05,2.04,1.44
"SLX-10722_SLX-11823.D701_D506","1",95000001,95500000,1.031,1.001,2,0.05,2.04,3.24
"SLX-10722_SLX-11823.D701_D506","1",95500001,96000000,1.022,1.001,2,0.05,2.04,2.88
"SLX-10722_SLX-11823.D701_D506","1",96000001,96500000,1.025,1.001,2,0.05,2.04,3
"SLX-10722_SLX-11823.D701_D506","1",96500001,97000000,1.011,1.001,2,0.05,2.04,2.44
"SLX-10722_SLX-11823.D701_D506","1",97000001,97500000,1.045,1.001,2,0.05,2.04,3.8
"SLX-10722_SLX-11823.D701_D506","1",97500001,98000000,1.026,1.001,2,0.05,2.04,3.04
"SLX-10722_SLX-11823.D701_D506","1",98000001,98500000,1.082,1.001,2,0.05,2.04,5.28
"SLX-10722_SLX-11823.D701_D506","1",98500001,99000000,1.013,1.001,2,0.05,2.04,2.52
"SLX-10722_SLX-11823.D701_D506","1",99000001,99500000,1.018,1.001,2,0.05,2.04,2.72
"SLX-10722_SLX-11823.D701_D506","1",99500001,100000000,1.003,1.001,2,0.05,2.04,2.12
"SLX-10722_SLX-11823.D701_D506","1",100000001,100500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",100500001,101000000,1.111,1.001,2,0.05,2.04,6.44
"SLX-10722_SLX-11823.D701_D506","1",101000001,101500000,1.058,1.001,2,0.05,2.04,4.32
"SLX-10722_SLX-11823.D701_D506","1",101500001,102000000,1.008,1.001,2,0.05,2.04,2.32
"SLX-10722_SLX-11823.D701_D506","1",102000001,102500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",102500001,103000000,0.985,1.001,2,0.05,2.04,1.4
"SLX-10722_SLX-11823.D701_D506","1",103000001,103500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",103500001,104000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",104000001,104500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",104500001,105000000,1.012,1.001,2,0.05,2.04,2.48
"SLX-10722_SLX-11823.D701_D506","1",105000001,105500000,1.027,1.001,2,0.05,2.04,3.08
"SLX-10722_SLX-11823.D701_D506","1",105500001,106000000,0.987,1.001,2,0.05,2.04,1.48
"SLX-10722_SLX-11823.D701_D506","1",106000001,106500000,0.96,1.001,2,0.05,2.04,0.399999999999999
"SLX-10722_SLX-11823.D701_D506","1",106500001,107000000,0.968,1.001,2,0.05,2.04,0.719999999999999
"SLX-10722_SLX-11823.D701_D506","1",107000001,107500000,1.006,1.001,2,0.05,2.04,2.24
"SLX-10722_SLX-11823.D701_D506","1",107500001,108000000,0.987,1.001,2,0.05,2.04,1.48
"SLX-10722_SLX-11823.D701_D506","1",108000001,108500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",108500001,109000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",109000001,109500000,1.036,1.001,2,0.05,2.04,3.44
"SLX-10722_SLX-11823.D701_D506","1",109500001,110000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",110000001,110500000,0.937,1.001,2,0.05,2.04,-0.519999999999998
"SLX-10722_SLX-11823.D701_D506","1",110500001,111000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",111000001,111500000,1.006,1.001,2,0.05,2.04,2.24
"SLX-10722_SLX-11823.D701_D506","1",111500001,112000000,0.997,1.001,2,0.05,2.04,1.88
"SLX-10722_SLX-11823.D701_D506","1",112000001,112500000,1.04,1.001,2,0.05,2.04,3.6
"SLX-10722_SLX-11823.D701_D506","1",112500001,113000000,0.905,1.001,2,0.05,2.04,-1.8
"SLX-10722_SLX-11823.D701_D506","1",113000001,113500000,0.985,1.001,2,0.05,2.04,1.4
"SLX-10722_SLX-11823.D701_D506","1",113500001,114000000,1.044,1.001,2,0.05,2.04,3.76
"SLX-10722_SLX-11823.D701_D506","1",114000001,114500000,1.132,1.001,2,0.05,2.04,7.28
"SLX-10722_SLX-11823.D701_D506","1",114500001,115000000,0.933,1.001,2,0.05,2.04,-0.679999999999998
"SLX-10722_SLX-11823.D701_D506","1",115000001,115500000,1.089,1.001,2,0.05,2.04,5.56
"SLX-10722_SLX-11823.D701_D506","1",115500001,116000000,0.972,1.001,2,0.05,2.04,0.879999999999999
"SLX-10722_SLX-11823.D701_D506","1",116000001,116500000,1.038,1.001,2,0.05,2.04,3.52
"SLX-10722_SLX-11823.D701_D506","1",116500001,117000000,1.032,1.001,2,0.05,2.04,3.28
"SLX-10722_SLX-11823.D701_D506","1",117000001,117500000,0.947,1.001,2,0.05,2.04,-0.120000000000002
"SLX-10722_SLX-11823.D701_D506","1",117500001,118000000,1.001,1.001,2,0.05,2.04,2.04
"SLX-10722_SLX-11823.D701_D506","1",118000001,118500000,1.044,1.001,2,0.05,2.04,3.76
"SLX-10722_SLX-11823.D701_D506","1",118500001,119000000,1.041,1.001,2,0.05,2.04,3.64
"SLX-10722_SLX-11823.D701_D506","1",119000001,119500000,0.945,1.001,2,0.05,2.04,-0.200000000000002
"SLX-10722_SLX-11823.D701_D506","1",119500001,120000000,0.947,1.001,2,0.05,2.04,-0.120000000000002
"SLX-10722_SLX-11823.D701_D506","1",120000001,120500000,0.929,1.001,2,0.05,2.04,-0.839999999999998
"SLX-10722_SLX-11823.D701_D506","1",120500001,121000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",121000001,121500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",121500001,122000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",122000001,122500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",122500001,123000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",123000001,123500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",123500001,124000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",124000001,124500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",124500001,125000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",125000001,125500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",125500001,126000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",126000001,126500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",126500001,127000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",127000001,127500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",127500001,128000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",128000001,128500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",128500001,129000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",129000001,129500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",129500001,130000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",130000001,130500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",130500001,131000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",131000001,131500000,NA,NA,2,0.05,NA,NA
